model,cache_type,lambda,final_accuracy,normalized_accuracy,cache_actual_size,cache_max_capacity,total_calls
knn,simple,0.05,0.8257142857142858,0.0006773702097738194,1219,,960
knn,simple,0.1,0.8198701298701299,0.0008970132711927023,914,,685
knn,simple,0.2,0.803961038961039,0.0010864338364338364,740,,528
knn,simple,0.3,0.7999999999999999,0.0012578616352201257,636,,409
knn,simple,0.4,0.7623376623376623,0.001896362344123538,402,,168
knn,simple,0.5,0.76,0.0019338422391857507,393,,163
