cache_type,cache_hit_rate,mean_latency_sec,throughput_qps,total_llm_calls,efficiency_score
lfu,0.2577922077922078,0.0002823959298238352,3541.1275248330317,2286,1.873724370937859
lru,1.0,0.0009366303863753747,1067.6570123566637,0,1.0338285061783319
simple,1.0,0.0008087130360208549,1236.5325590896155,0,1.118266279544808
